name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,doorWindow,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,facingDisasterProg,handlingSkill,specialBudget,interactionGuide,emergencyResponse,raiseFunds,provideTraining,churchEducation,riskreduction,disasterOccurs,economicDev,buildingCode,trainingNeeds,increaseCapacity,disasterResponseSOP,dataRoutine,evacuationSimulation,preparednessTools,competent,lastUpdate,Gempa,Banjir,KekeRingan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik,evacuationGuidePerson,disasterContactPerson
GKJ Wiladeg ,Jl. Wonosari-Karangmojo Km 6 Wiladeg Karangmojo Gunungkidul ,Daerah Istimewa Yogyakarta,-7.9551434,110.6464711,1007,Angin puting beliung,Gempa,Covid 19,Tidak Punya,Tidak Punya,Punya,Ya,Ya,Tidak Punya,Ya,Tidak Ada,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Tidak,Ya,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),LSM/NGO,Ya,Ya,Sedikit siap,Tidak,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit",Ya,Pendataan penyintas COVID-19,Tidak,Ambulans,"BPBD/BNPB, SAR, PMI",Senin 13 September 2021 ,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Bejiharjo ,"Dusun Kulwo, Bejiharjo, Karangmojo, Gunungkidul DIY ",Daerah Istimewa Yogyakarta,-7.9395221,110.6369269,370,KekeRingan,Banjir,Konflik Sosial,Tidak Punya,Tidak punya,Tidak punya,Ya,Ya,Tidak Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Tidak,Tidak,Ya,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),BNPB/BPBD,Ya,Ya,Sedikit siap,Tidak,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Epidemi dan wabah penyakit",Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19",Tidak,Lampu senter,"BPBD/BNPB, PMI","Selasa, 14 September 2021",#31AA75,#FF8E00,#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Susukan,"Susukan II,Genjahan,Ponjong,Gunungkidul",Daerah Istimewa Yogyakarta,-7.9586285,110.6979387,680,KekeRingan,Covid 19,Intoleransi Beragama,Tidak Punya,Tidak Punya,Tidak punya,Ya,Ya,Tidak punya,Tidak,Ringan,Terdampak dan berpotensi membahayakan pengguna/jemaat,Ya,Tidak punya,Tidak punya,Tidak punya,Punya,Tidak,Tidak,Tidak,Ya,Ya,Insidental (penggalangan dana/persembahan bencana),BNPB/BPBD,Ya,Ya,Sedikit siap,Ya,Ya,"Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan","Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan",Tidak,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)","Ya, > 2 tahun","Kotak P3K, Genset",BPBD/BNPB,kamis 16 september 2021,#31AA75,#31AA75,#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Baran Gunungkidul,Kerdonmiri 003/001 Karangwuni Rongkop Gunungkidul ,Daerah Istimewa Yogyakarta,-8.075203,110.764535,874,KekeRingan,Epidemi,Putus sekolah,Tidak punya,Tidak punya,Tidak Punya,Ya,Ya,Tidak punya,Tidak,Tidak Ada,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Tidak,Tidak,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),FKUB (Forum Kerukunan Umat Beragama),Tidak,Tidak,Sedikit siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Ya,"Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Lampu senter,"BPBD/BNPB, SAR, PMI",Jumat 3 September 2021,#31AA75,#31AA75,#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Watusigar,"Watusigar, Ngawen, Gunungkidul, DIY",Daerah Istimewa Yogyakarta,-7.8611482,110.6901249,912,Angin Kencang,KekeRingan,Banjir,Punya,Punya,Punya,Ya,Ya,Tidak Punya,Ya,Tidak Ada,Tidak terdampak,Tidak,Punya,Tidak punya,Punya,Punya,Tidak,Ya,Ya,Ya,Ya,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),"TNI/POLRI, BNPB/BPBD, FKUB (Forum Kerukunan Umat Beragama), LSM/NGO",Ya,Ya,Siap,Tidak,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit, Terorisme",Ya,Pendataan penyintas COVID-19,"Ya, > 2 tahun","Lampu senter, Rompi, Kotak P3K, Alat pengeras suara","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana","Jumat, 17 September 2021",#31AA75,#F7EA00,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Paliyan,"Tahunan RT 02 RW 01, Karangduwet, Paliyan, Gunungkidul 55871",Daerah Istimewa Yogyakarta,-7.98702,110.50663,704,Covid 19,kekeRingan,angin kencang,Tidak Punya,Tidak Punya,Tidak Punya,Ya,Ya,Tidak Punya,Belum Teruji,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Tidak punya,Punya,Ya,Ya,Ya,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),YAKKUM,Ya,Ya,Siap,Tidak,Ya,Simulasi menghadapi bencana,Simulasi menghadapi bencana,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, > 2 tahun","Lampu senter, Lampu darurat","SAR, PMI, Kelompok masyarakat peduli bencana","Sabtu, 18 September 2021",#31AA75,#31AA75,#FF8E00,#31AA75,#F7EA00,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Pugeran,"Kerdon, Karangsari, Semin, Gunungkidul",Daerah Istimewa Yogyakarta,-7.8673404,110.7483625,696,Covid 19,KekeRingan,Tanah Longsor,Tidak Punya,Tidak Punya,Punya,Ya,Ya,Punya,Belum Teruji,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Tidak,Tidak,Ya,Ya,Tidak,Insidental (penggalangan dana/persembahan bencana),FKUB (Forum Kerukunan Umat Beragama),Ya,Ya,Sedikit siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Epidemi dan wabah penyakit",Tidak,"Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, > 2 tahun","Kotak P3K, Alat pengeras suara, Genset","SAR, PMI","Senin, 20 September 2021",#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#F7EA00,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Logandeng,"Utara Pasar Sompil, Logandeng RT. 027 / RW. 05, Logandeng, Playen, Plumbon Lor, Logandeng, Kec. Playen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55861",Daerah Istimewa Yogyakarta,-7.935176,110.5738123,259,Alam,Non alam,Sosial,Tidak punya,Tidak punya,Tidak punya,Ya,Ya,Tidak Punya,Belum Teruji,Sedang,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Tidak,Tidak,Tidak,Tidak,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,Klasis,Ya,Ya,Sedikit siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Ya,"Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Sudah pernah ikut simulasi yg diadakan klasis,Kotak P3K,"BPBD/BNPB, SAR, PMI","Senin, 20 September 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Kemadang,Jl Baron Km 17 Karanglor II Kemadang Tanjungsari Gunungkidul,Daerah Istimewa Yogyakarta,-8.0958151,110.5547519,784,KekeRingan,Gempa bumi,Gelombang tinggi,Punya,Punya,Punya,Ya,Ya,Tidak Punya,Ya,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"BNPB/BPBD, LSM/NGO, FPRB",Ya,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat","Ya, 1-2 tahun","Peluit, Helm, Lampu senter, Kotak P3K, APD","BPBD/BNPB, SAR, FPRB","Senin, 20 September 2021",#FF8E00,#31AA75,#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Sabda Adi Semanu,"Jl. Jend. Sudirman no 6 Semanu, Gunungkidul",Daerah Istimewa Yogyakarta,-8.0023245,110.6472872,489,non alam,alam,sosial,Tidak punya,Punya,Tidak punya,Ya,Ya,Tidak Punya,Belum Teruji,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Punya,Tidak punya,Tidak punya,Tidak,Ya,Ya,Tidak,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,BNPB/BPBD,Tidak,Ya,Sedikit siap,Ya,Ya,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Pelatihan pengelolaan dana dan bantuan","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Pelatihan pengelolaan dana dan bantuan",Ya,Pendataan golongan darah,"Ya, > 2 tahun","Lampu senter, Alat pengeras suara, Genset","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","selasa, 22 september 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
