name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,doorWindow,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,facingDisasterProg,handlingSkill,specialBudget,interactionGuide,emergencyResponse,raiseFunds,provideTraining,churchEducation,riskreduction,disasterOccurs,economicDev,buildingCode,trainingNeeds,increaseCapacity,disasterResponseSOP,dataRoutine,evacuationSimulation,preparednessTools,competent,lastUpdate,Gempa,Banjir,KekeRingan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
Gereja Kibaid Jemaat Palu,Jln. Gereja No 13,Sulawesi Tengah,-0.90895,119.8854,211,Epidemi dan wabah penyakit (covid),Gempa Bumi,Konflik Sosial,Punya,Punya,Tidak punya,Tidak,Ya,Punya,Ya,Tidak Ada,Tidak terdampak,Tidak,Punya,Punya,Tidak punya,Tidak punya,Tidak,Ya,Ya,Ya,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,Belum pernah,"Ibadah minggu, Sekolah Minggu","Khotbah, Infokus (slide berjalan), live streaming, warta jemaat",Siap,Bantuan modal,Ya,"Simulasi menghadapi bencana, Sosialisasi dan pemahaman dalam menghadapi bencana, contohnya jika terjadi gempa jemaat tidak terlalu panik dan tahu apa yang harus dilakukan",Sosialisasi dan pemahaman dalam menghadapi bencana,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,"Alat pengeras suara, Genset, Tenda, peralatan dapur untuk dapur umum, tempat cuci tangan","BPBD/BNPB, SAR, PMI",23 April 2021,#CF3333,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
Gereja Dome of Bethany Jemaat Palu,Jl. Sulawesi no 391 kota palu,Sulawesi Tengah,-0.90016,119.8708,1200,Gempa Bumi,Terorisme,Konflik sosial,Tidak punya,Tidak Punya,Tidak punya,Ya,Ya,Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Tidak,Ya,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak Ada,Tidak Ada,"Khotbah, Video, Poster, Siaran radio, Broadcast message WhatsApp Group",Siap,Tidak Ada,Ya,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Terorisme",Tidak Ada,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,"Kotak P3K, Safety Box berisi dokumen penting, Genset","BPBD/BNPB, SAR, PMI",23 April 2021,#CF3333,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#FF8E00,#FF8E00,#FF8E00
GKST Musafir Palu,Jalan Towua Lorong Sintuwu 2,Sulawesi Tengah,-0.92914,119.8801,256,Gempa Bumi,Wabah Penyakit/Covid19,Terorisme,Tidak Punya,Tidak Punya,Tidak punya,Ya,Ya,Punya,Tidak,Ringan,Terdampak tetapi masih ada pada tempatnya,Ya,Punya,Punya,Punya,Punya,Tidak,Ya,Tidak,Tidak,"Wabah penyakit, Terorisme, gempa bumi",Insidental (penggalangan dana/persembahan bencana),LSM/NGO,"Ibadah minggu, Pendalaman Alkitab, Sekolah Minggu","Khotbah, Poster, Broadcast message WhatsApp Group",Siap,Tidak Ada,Tidak,"Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Jika ada pelatihan gereja tangguh bencana diharapkan dilaksanakan secara sistematis dan berkesinambungan serta sesuai dengan kondisi masing-masing gereja,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, 1-2 tahun","Helm, Lampu senter, Lampu darurat, Kotak P3K, Peralatan balut bidai, Alat pengeras suara, Genset","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana",23 April 2021,#CF3333,#F7EA00,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
Bala Keselamatan Korps Towua,Jl. Towua No. 80,Sulawesi Tengah,-0.94799,119.8418,420,Gempa Bumi,Angin puting beliung,Covid19,Tidak Punya,Tidak punya,Tidak punya,Ya,Ya,Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Tidak punya,Tidak punya,Tidak,Ya,Tidak,Ya,Tidak,Insidental (penggalangan dana/persembahan bencana),"TNI/POLRI, BNPB/BPBD","Ibadah minggu, Sekolah Minggu","Khotbah, Poster",Sedikit siap,Keterampilan,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Simulasi kebencanaan dan pelatihan pendampingan kebencanaan,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19","Ya, > 2 tahun",Genset,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan",23 April 2021,#CF3333,#F7EA00,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
Huria Kristen Batak Protestan (HKBP) Resort Palu,Jl. Gereja No. 36 Tanjung Manimbaya,Sulawesi Tengah,-0.9109,119.8849,360,Gempa Bumi ,"Wabah penyakit, Covid19",Konflik antar kelompok/antar komunitas masyarakat,Punya,Punya,Tidak punya,Ya,Ya,Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Punya,Punya,Tidak,Ya,Ya,Tidak,Gempa Bumi,Insidental dan alokasi anggaran bulanan khusus bencana,Tim Dari kantor Pusat HKBP,Ibadah minggu,Broadcast message WhatsApp Group,Sangat siap,Bantuan usaha,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Simulasi masalah tanggap bencana ,Tidak,Pendataan penyintas COVID-19,Tidak,Kotak P3K,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan",24 April 2021,#CF3333,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
GPDI pedati kota palu,Jl. Pattimura no 76 kota palu,Sulawesi Tengah,-0.90326,119.8697,350,Gempa bumi,Terorisme,Konflik sosial,Tidak Punya,Tidak punya,Tidak punya,Ya,Ya,Punya,Ya,Sedang,Terdampak dan berhamburan ketika gempa,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Tidak,Ya,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak Ada,Tidak Ada,Tidak Ada,Tidak siap,Tidak Ada,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak Ada,Tidak,Tidak Ada,Tidak,"Alat pengeras suara, Safety Box berisi dokumen penting, Genset","BPBD/BNPB, SAR, PMI",24 April 2021,#CF3333,#CF3333,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
GPdi Jemaat Kota Palu,Jalan Gajah Mada no 4,Sulawesi Tengah,-0.89793,119.8649,1200,Covid19,Gempa bumi,Terorisme (sebenarnya Tidak Ada),Punya,Punya,Tidak punya,Ya,Ya,Punya,Ya,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Tidak punya,Tidak punya,Tidak punya,Tidak,Ya,Ya,Tidak,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,BNPB/BPBD,Ibadah minggu,"Khotbah, Video, Broadcast message WhatsApp Group",Siap,Tidak Ada,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme, Dana",Pelatihan sangat dibutuhkan beserta perangkatnya dan dananya,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",2 hari (sosialisasi),"Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset","BPBD/BNPB, Kelurahan",24 April 2021,#CF3333,#CF3333,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
Gereja Kristen Bathani Jemaat Kadosh,Jl. Nusakambangan No 3 Kota Palu,Sulawesi tengah,-0.90122,119.8697,250,Gempa bumi,Terorisme,Kebakaran pemukiman,Tidak Punya,Tidak punya,Tidak punya,Ya,Ya,Punya,Ya,Ringan,Hanya speaker yang jatuh Karena disusun 2,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Tidak,Ya,Ya,Tidak,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,Tidak Ada,Tidak Ada,Tidak Ada,Tidak siap,Tidak Ada,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Terorisme",Tidak Ada ,Tidak,"Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Kotak P3K, Alat pemadam kebakaran, Safety Box berisi dokumen penting, Genset","BPBD/BNPB, SAR, PMI",24 April 2021,#CF3333,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
Gpdi Bethesda Keluarga ilahi,Jl. Moh. Hatta No.9-11,Sulawesi tengah,-0.89636,119.873,300,Gempa bumi,Terorisme,Konflik sosial,Tidak punya,Tidak punya,Tidak punya,Ya,Ya,Tidak punya,Ya,Plafon rubuh,Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Tidak,Ya,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak Ada,Tidak Ada,Broadcast message WhatsApp Group,Sedikit siap,Tidak Ada,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak Ada,Tidak,Tidak Ada,Tidak,Tidak Ada,"BPBD/BNPB, SAR, PMI",25 April 2021,#CF3333,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
GPID DIASPORA MAMBORO,Jl KARANA BELAKANG ASPOL BRIMOB MAMBORO KEL. Palu Utara Kota palu,Sulawesi tengah,-0.78612,119.8748,287,Gempa bumi,Angin topan/ angin kencang,- ,Punya,Tidak punya,Tidak punya,Ya,Ya,Tidak punya,Ya,,Tidak terdampak,Tidak,Punya tapi tidak dipasang,Punya,Punya,Tidak punya,Tidak,Ya,Ya,Tidak,Tidak,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),Belum pernah ada pelatihan,"Ibadah minggu, Pelka dan kolom","Khotbah, Broadcast message WhatsApp Group, Warta jemaat",Siap,,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Semua kegiatan bisa terlaksana apabila didukung sarana dan prasarana terutama dana yang besar untuk memfasilitasi. ,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Belum pernah,"Genset, Tenda darurat, tempat tidur lapangan, perlengkapan dapur umum ","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI",25 April 2021,#CF3333,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#FF8E00
