name,weather,badge,humidity,wind,disasterPotential
Gereja Kristen Jawa Bambu Tegalrejo,Bantul,Bantul,Bantul,Bantul,Banjir
GKJ Sentolo,Bantul,Bantul,Bantul,Bantul,Kekeringan
GKJ BARAN GUNUNGKIDUL,Wonosari,Wonosari,Wonosari,Wonosari,Kekeringan
GKJ Semanu Baru Gunungkidul Yogyakarta,Wonosari,Wonosari,Wonosari,Wonosari,Tidak Ada
Gereja Kristen Nazarene Filadelfia,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKJ Samigaluh,Bantul,Bantul,Bantul,Bantul,Kekeringan
GKJ Palihan,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ PUNDONG,Bantul,Bantul,Bantul,Bantul,Banjir
Gereja Presbiterian Injili Indonesia (GPII),Sleman,Sleman,Sleman,Sleman,Tidak Ada
Grj Presbiterian Injili Indonesia Eben Haezer,Sleman,Sleman,Sleman,Sleman,Angin Topan
GKJ Logandeng,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ Ngentakrejo,Bantul,Bantul,Bantul,Bantul,Kekeringan
GKJ Madukismo,Bantul,Bantul,Bantul,Bantul,Angin Topan
Gereja Baptis Indonesia Karunia Jogja,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Tidak Ada
GBI Sidomoyo,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKI WONGSODIRJAN ,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Tidak Ada
GKJ PLONO,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ Canden,Bantul,Bantul,Bantul,Bantul,Banjir
GKJ Wiladeg ,Bantul,Bantul,Bantul,Bantul,Angin Topan
GKJ Bejiharjo ,Bantul,Bantul,Bantul,Bantul,Angin Topan
GKJ Sabda Adi Semanu,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ Demakijo Yogya,Sleman,Sleman,Sleman,Sleman,Angin Topan
GKJ Rewulu,Sleman,Sleman,Sleman,Sleman,Tidak Ada
"GKJ Bantul, Yogyakarta",Bantul,Bantul,Bantul,Bantul,Angin Topan
GKJ Jodhog,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ PANGGANG - GUNUNGKIDUL,Wonosari,Wonosari,Wonosari,Wonosari,Kekeringan
GKJ Tanjungtirto,Sleman,Sleman,Sleman,Sleman,Angin Topan
GKJ Sumberagung,Bantul,Bantul,Bantul,Bantul,Banjir
GKJ WonosariGunungkidul,Wonosari,Wonosari,Wonosari,Wonosari,Kekeringan
GKJ GOWOK,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ Nanggulan,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ Kalipenten,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GBI Sleman,Sleman,Sleman,Sleman,Sleman,Kekeringan
GKJ Susukan,Wonosari,Wonosari,Wonosari,Wonosari,Kekeringan
GKJ Pugeran,Wonosari,Wonosari,Wonosari,Wonosari,Kekeringan
GKJ Temon,Sleman,Sleman,Sleman,Sleman,Kekeringan
Gereja Baptis Indonesia Bukit Zaitun Balangan,Sleman,Sleman,Sleman,Sleman,Kekeringan
GKI Gondomanan ,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Banjir
GKJ Paliyan,Wonosari,Wonosari,Wonosari,Wonosari,Kekeringan
GKJ Wates,Wates,Wates ,Wates ,Wates ,Kekeringan
GKJ Wates Selatan,Wates,Wates ,Wates ,Wates ,Kekeringan
GKJ Kebonagung,Sleman,Sleman,Sleman,Sleman,Angin Topan
GKJ Kotagede,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Banjir
GKJ Wonocatur,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ Sidomulyo,Bantul,Bantul,Bantul,Bantul,Tidak Ada
GKJ Suryodiningratan,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Tidak Ada
GKJ Dayu,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKJ NGULAKAN,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKJ Watusigar,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKJ Ngulakan,Sleman,Sleman,Sleman,Sleman,Tidak Ada
Gkj Pakem,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKI GEJAYAN,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKJ Karangbendo,Bantul,Bantul,Bantul,Bantul,Angin Topan
Gereja Kristen Jawa Condongcatur,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKJ Brayat Kinasih,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Tidak Ada
GKJ Minomartani,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKJ Jatimulyo,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Tidak Ada
GKJ Wirobrajan,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Tidak Ada
Gereja Baptis Indonesia Ngadinegaran,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Angin Topan
GKI Ngupasan,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Angin Topan
GKJ Sarimulyo,Sleman,Sleman,Sleman,Sleman,Tidak Ada
GKJ Samironobaru,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Tidak Ada
GKJ Kemadang,Wonosari,Wonosari,Wonosari,Wonosari,Kekeringan
gkj tulung,Sleman,Sleman,Sleman,Sleman,Tidak Ada
gkj mergangsan,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Tidak Ada
GKJ Gondokusuman,Yogyakarta,Yogyakarta,Yogyakarta,Yogyakarta,Banjir
GKJ Ambarrukma,Sleman,Sleman,Sleman,Sleman,Angin Topan
GKJ Patalan,Bantul,Bantul,Bantul,Bantul,Banjir
GKJ Maguwoharjo,Sleman,Sleman,Sleman,Sleman,Tidak ada
Gkmi jemaat mawar saron,KotaPalu,KotaPalu,KotaPalu,KotaPalu,Tidak ada
GPdI Vinear KotaPalu,KotaPalu,KotaPalu,KotaPalu,KotaPalu,Tidak ada
Gereja sidang jemaat Allah di Indonesia (GSJA),KotaPalu,KotaPalu,KotaPalu,KotaPalu,Tidak ada
Gpdi Bethesda Keluarga ilahi,KotaPalu,KotaPalu,KotaPalu,KotaPalu,Tidak ada
GBI Jemaat Malaya KotaPalu,KotaPalu,KotaPalu,KotaPalu,KotaPalu,Kebakaran
