no,name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,evacuationGuidePerson,lastUpdate,disasterContactPerson,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
1,GKJ Wiladeg ,Jl. Wonosari-Karangmojo Km 6 Wiladeg Karangmojo Gunungkidul ,DIY,-7.9551434,110.6464711,1007,Angin puting beliung,Gempa,Covid 19,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, SAR, PMI",Tidak,Ambulans,Tidak,Ya,Pendataan penyintas COVID-19,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Tidak,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit",Tidak punya,Senin 13 September 2021 ,Tidak tahu dan tidak bisa mengakses,Orange,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
2,GKJ Bejiharjo ,"Dusun Kulwo, Bejiharjo, Karangmojo, Gunungkidul DIY ",DI Yogyakarta ,-7.9395221,110.6369269,370,Kekeringan,Banjir,Konflik Sosial,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, PMI",Tidak,Lampu senter,Tidak,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19",,Ya,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,BNPB/BPBD,Tidak,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Epidemi dan wabah penyakit",Tidak punya,"Selasa, 14 September 2021",Tidak tahu dan tidak bisa mengakses,Green,Orange,Red,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
3,GKJ Susukan,"Susukan II,Genjahan,Ponjong,Gunungkidul",DIY,-7.9586285,110.6979387,680,Kekeringan,Covid 19,Intoleransi Beragama,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Tidak punya,Tidak,Retak ringan,Terdampak dan berpotensi membahayakan pengguna/jemaat,Ya,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan",BPBD/BNPB,"Ya, > 2 tahun","Kotak P3K, Genset",Tidak,Tidak,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",,Tidak,Insidental (penggalangan dana/persembahan bencana),Ya,Ya,BNPB/BPBD,Ya,Ya,Ya,Sedikit siap,"Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan","Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan",Tidak punya,kamis 16 september 2021,Tahu dan bisa mengakses,Green,Green,Red,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
4,GKJ BARAN GUNUNGKIDUL,Kerdonmiri 003/001 Karangwuni Rongkop Gunungkidul ,Daerah Istimewa Yogyakarta,-8.075203,110.764535,874,Kekeringan,Epidemi,Putus sekolah,Tidak punya,Tidak punya,"Punya, tetapi tidak berfungsi",Ya,,Ya,Ya,Tidak punya,Tidak,Tidak ada,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,Lampu senter,Tidak,Tidak,"Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,FKUB (Forum Kerukunan Umat Beragama),Ya,Tidak,Tidak,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak punya,Jumat 3 September 2021,Tahu dan bisa mengakses,Green,Green,Red,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
5,GKJ Watusigar,"Watusigar, Ngawen, Gunungkidul, DIY",DIY,-7.8611482,110.6901249,912,Angin Kencang,Kekeringan,Banjir,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, sudah diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Lampu senter, Rompi, Kotak P3K, Alat pengeras suara",Tidak,Ya,Pendataan penyintas COVID-19,,Ya,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),Ya,Ya,"TNI/POLRI, BNPB/BPBD, FKUB (Forum Kerukunan Umat Beragama), LSM/NGO",Tidak,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit, Terorisme","Punya, aktif dan selalu meningkatkan kapasitas","Jumat, 17 September 2021",Tahu dan bisa mengakses,Green,Yellow,Orange,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
6,GKJ Paliyan,"Tahunan RT 02 RW 01, Karangduwet, Paliyan, Gunungkidul 55871",Daerah Istimewa Yogyakarta,-7.98702,110.50663,704,Covid 19,kekeringan,angin kencang,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak berfungsi",Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","SAR, PMI, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Lampu senter, Lampu darurat",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,YAKKUM,Tidak,Ya,Ya,Siap,Simulasi menghadapi bencana,Simulasi menghadapi bencana,Tidak punya,"Sabtu, 18 September 2021",Tidak tahu dan tidak bisa mengakses,Green,Green,Orange,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
7,GKJ Pugeran,"Kerdon, Karangsari, Semin, Gunungkidul",Daerah Istimewa Yogyakarta,-7.8673404,110.7483625,696,Covid 19,Kekeringan,Tanah Longsor,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, belum teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"SAR, PMI",Tidak,"Kotak P3K, Alat pengeras suara, Genset",Tidak,Tidak,"Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,FKUB (Forum Kerukunan Umat Beragama),Ya,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Epidemi dan wabah penyakit",Tidak punya,"Senin, 20 September 2021",Tahu dan bisa mengakses,Green,Green,Orange,Green,Green,Green,Green,Green,Yellow,Orange,Green,Orange,Orange
8,GKJ Logandeng,"Utara Pasar Sompil, Logandeng RT. 027 / RW. 05, Logandeng, Playen, Plumbon Lor, Logandeng, Kec. Playen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55861",Yogyakarta,-7.935176,110.5738123,259,Alam,Non alam,Sosial,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",Genteng jatuh,Terdampak tetapi masih ada pada tempatnya,Belum di survei kembali,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Sudah pernah ikut simulasi yg diadakan klasis,Kotak P3K,Tidak,Tidak,"Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Tidak,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,Klasis,Ya,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Tidak punya,"Senin, 20 September 2021",Tidak tahu dan tidak bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
9,GKJ Kemadang,Jl Baron Km 17 Karanglor II Kemadang Tanjungsari Gunungkidul,DIY,-8.0958151,110.5547519,784,Kekeringan,Gempa bumi,Gelombang tinggi,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Baru sebagian,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, FPRB","Ya, 1-2 tahun","Peluit, Helm, Lampu senter, Kotak P3K, APD",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat","Gempa bumi, Covid 19",Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"BNPB/BPBD, LSM/NGO, FPRB",Ya,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Punya, aktif dan selalu meningkatkan kapasitas","Senin, 20 September 2021",Tahu dan bisa mengakses,Orange,Green,Red,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
10,GKJ Sabda Adi Semanu,"Jl. Jend. Sudirman no 6 Semanu, Gunungkidul",DIY,-8.0023245,110.6472872,489,non alam,alam,sosial,Tidak punya,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,"Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,"BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Lampu senter, Alat pengeras suara, Genset",Tidak,Ya,Pendataan golongan darah,,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,BNPB/BPBD,Ya,Tidak,Ya,Sedikit siap,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Pelatihan pengelolaan dana dan bantuan","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Pelatihan pengelolaan dana dan bantuan",Tidak punya,"selasa, 22 september 2021",Tidak tahu dan tidak bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
